timestamp,experiment_name,model_type,optimizer,lr,batch_size,dropout,augmentation,initialization,accuracy,f1_macro,f1_per_class,train_time_sec,epochs_run,best_epoch,num_params,flops,gpu_mem_mb,device,seed,config_file,slurm_job_id
2026-05-04T19:24:52.124314,ablation_augmentation_none_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9177,0.91666,"[0.8639, 0.9808, 0.8699, 0.913, 0.8665, 0.9829, 0.7511, 0.9709, 0.9939, 0.9737]",45.61,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_none_deeper_cnn.yaml,12501381
2026-05-04T19:25:53.452534,ablation_augmentation_hflip_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,hflip,he,0.9283,0.92814,"[0.8818, 0.9917, 0.8923, 0.9326, 0.8898, 0.9777, 0.7915, 0.9678, 0.9862, 0.97]",106.52,24,19,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_hflip_deeper_cnn.yaml,12501380
2026-05-04T19:26:42.073577,ablation_batch_size_128_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9177,0.91666,"[0.8639, 0.9808, 0.8699, 0.913, 0.8665, 0.9829, 0.7511, 0.9709, 0.9939, 0.9737]",43.65,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_128_deeper_cnn.yaml,12501382
2026-05-04T19:26:47.208294,ablation_augmentation_crop_flip_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,crop_flip,he,0.9346,0.93471,"[0.8898, 0.9942, 0.8995, 0.9376, 0.9121, 0.9753, 0.8102, 0.9607, 0.9934, 0.9745]",160.59,32,27,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_crop_flip_deeper_cnn.yaml,12501379
2026-05-04T19:27:39.836347,ablation_batch_size_256_deeper_cnn,deeper_cnn,adamw,0.001,256,0.3,none,he,0.8843,0.88259,"[0.8369, 0.9767, 0.6662, 0.8946, 0.805, 0.9815, 0.7428, 0.9697, 0.9798, 0.9727]",62.92,19,14,299114,-1,305.6,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_256_deeper_cnn.yaml,12501383
2026-05-04T19:28:16.494251,ablation_batch_size_64_deeper_cnn,deeper_cnn,adamw,0.001,64,0.3,none,he,0.9279,0.92774,"[0.8762, 0.9884, 0.8852, 0.9311, 0.8869, 0.9854, 0.7909, 0.9667, 0.9934, 0.9731]",59.8,12,7,299114,-1,120.7,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_64_deeper_cnn.yaml,12501385
2026-05-04T19:29:12.756492,ablation_batch_size_32_deeper_cnn,deeper_cnn,adamw,0.001,32,0.3,none,he,0.9296,0.9297,"[0.885, 0.9873, 0.8944, 0.922, 0.8901, 0.9869, 0.7924, 0.9707, 0.9923, 0.976]",116.09,15,10,299114,-1,120.7,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_32_deeper_cnn.yaml,12501384
2026-05-04T19:29:16.043072,ablation_dropout_00_deeper_cnn,deeper_cnn,adamw,0.001,128,0.0,none,he,0.8935,0.89111,"[0.8538, 0.9588, 0.8176, 0.8908, 0.7589, 0.9804, 0.7455, 0.9686, 0.9668, 0.9699]",49.13,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_dropout_00_deeper_cnn.yaml,12501386
2026-05-04T19:31:45.500412,ablation_dropout_025_deeper_cnn,deeper_cnn,adamw,0.001,128,0.25,none,he,0.9095,0.90917,"[0.8679, 0.9889, 0.842, 0.9219, 0.8158, 0.9756, 0.7637, 0.9602, 0.9892, 0.9666]",49.71,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_dropout_025_deeper_cnn.yaml,12501387
2026-05-04T19:31:58.075537,ablation_dropout_05_deeper_cnn,deeper_cnn,adamw,0.001,128,0.5,none,he,0.9292,0.92923,"[0.8793, 0.9917, 0.8992, 0.9171, 0.903, 0.9835, 0.7949, 0.9675, 0.9863, 0.9698]",62.28,17,12,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_dropout_05_deeper_cnn.yaml,12501389
2026-05-04T19:32:06.073053,ablation_dropout_04_deeper_cnn,deeper_cnn,adamw,0.001,128,0.4,none,he,0.9257,0.92521,"[0.8693, 0.9836, 0.8853, 0.9212, 0.9022, 0.9773, 0.7731, 0.9775, 0.9892, 0.9735]",70.26,17,12,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_dropout_04_deeper_cnn.yaml,12501388
2026-05-04T19:33:39.691231,ablation_initialization_xavier_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,xavier,0.9093,0.90633,"[0.8431, 0.9841, 0.8545, 0.928, 0.8667, 0.9836, 0.6708, 0.9684, 0.9918, 0.9723]",39.96,11,6,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_initialization_xavier_deeper_cnn.yaml,12501392
2026-05-04T19:33:49.560199,ablation_initialization_he_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9177,0.91666,"[0.8639, 0.9808, 0.8699, 0.913, 0.8665, 0.9829, 0.7511, 0.9709, 0.9939, 0.9737]",49.74,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_initialization_he_deeper_cnn.yaml,12501391
2026-05-04T19:34:03.503067,ablation_initialization_default_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,default,0.9255,0.92663,"[0.87, 0.9883, 0.8877, 0.927, 0.8924, 0.9845, 0.7864, 0.9664, 0.9897, 0.9738]",63.72,16,11,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_initialization_default_deeper_cnn.yaml,12501390
2026-05-04T19:34:54.981758,ablation_lr_0001_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9177,0.91666,"[0.8639, 0.9808, 0.8699, 0.913, 0.8665, 0.9829, 0.7511, 0.9709, 0.9939, 0.9737]",43.58,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_lr_0001_deeper_cnn.yaml,12501394
2026-05-04T19:35:30.357895,ablation_lr_001_deeper_cnn,deeper_cnn,adamw,0.01,128,0.3,none,he,0.9207,0.91967,"[0.8668, 0.9912, 0.8864, 0.9221, 0.8714, 0.9845, 0.7481, 0.9686, 0.9876, 0.97]",44.26,11,6,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_lr_001_deeper_cnn.yaml,12501395
2026-05-04T19:35:39.996290,ablation_lr_00001_deeper_cnn,deeper_cnn,adamw,0.0001,128,0.3,none,he,0.9149,0.91473,"[0.8616, 0.9863, 0.879, 0.9001, 0.8744, 0.975, 0.7671, 0.9581, 0.9836, 0.9622]",88.31,22,17,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_lr_00001_deeper_cnn.yaml,12501393
2026-05-04T19:37:50.540911,ablation_lr_01_deeper_cnn,deeper_cnn,adamw,0.1,128,0.3,none,he,0.7401,0.74261,"[0.7505, 0.8898, 0.5937, 0.6819, 0.6638, 0.8415, 0.4407, 0.8221, 0.843, 0.8991]",53.88,13,8,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_lr_01_deeper_cnn.yaml,12501396
2026-05-04T19:38:04.231581,ablation_optimizer_adam_deeper_cnn,deeper_cnn,adam,0.001,128,0.3,none,he,0.922,0.92141,"[0.8707, 0.9907, 0.8916, 0.9105, 0.8889, 0.9801, 0.7656, 0.9638, 0.9866, 0.9654]",67.93,19,14,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adam_deeper_cnn.yaml,12501397
2026-05-04T19:39:49.174746,ablation_optimizer_adamw_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9177,0.91666,"[0.8639, 0.9808, 0.8699, 0.913, 0.8665, 0.9829, 0.7511, 0.9709, 0.9939, 0.9737]",48.6,12,7,299114,-1,163.7,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adamw_deeper_cnn.yaml,12501398
2026-05-04T19:39:51.103509,ablation_optimizer_sgd_momentum_deeper_cnn,deeper_cnn,sgd_momentum,0.001,128,0.3,none,he,0.8877,0.88839,"[0.8557, 0.9854, 0.813, 0.8996, 0.7866, 0.9687, 0.7081, 0.9463, 0.9716, 0.9489]",50.53,14,9,299114,-1,162.6,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_sgd_momentum_deeper_cnn.yaml,12501400
2026-05-04T19:42:21.728352,ablation_optimizer_sgd_deeper_cnn,deeper_cnn,sgd,0.001,128,0.3,none,he,0.879,0.87875,"[0.8343, 0.9783, 0.8244, 0.8707, 0.8019, 0.9521, 0.6784, 0.9414, 0.9626, 0.9432]",201.19,50,50,299114,-1,161.4,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_sgd_deeper_cnn.yaml,12501399
